animal,dificuldade
boi,fácil
ema,fácil
galo,fácil
gato,fácil
leao,fácil
lobo,fácil
mico,fácil
mula,fácil
naja,fácil
pato,fácil
peru,fácil
puma,fácil
rato,fácil
sapo,fácil
tatu,fácil
tigre,fácil
urso,fácil
vaca,fácil
veado,fácil

abelha,médio
anta,médio
arara,médio
baleia,médio
bode,médio
bufalo,médio
cabra,médio
camelo,médio
canario,médio
capivara,médio
cavalo,médio
cegonha,médio
cobra,médio
coelho,médio
coruja,médio
dromedario,médio
elefante,médio
foca,médio
formiga,médio
galinha,médio
golfinho,médio
iguana,médio
lebre,médio
mamute,médio
marreco,médio
morcego,médio
onca,médio
ovelha,médio
panda,médio
peixe,médio
pombo,médio
porco,médio
raposa,médio
rena,médio
serpente,médio
touro,médio

cachorro,difícil
carneiro,difícil
tartaruga,difícil